,relpath,name,format,category,width,height,mode,channels,label
0,./data/processed/dog/OIF-e2bexWrojgtQnAPPcUfOWQ.jpg,OIF-e2bexWrojgtQnAPPcUfOWQ.jpg,jpg,dog,224,224,RGB,3,4
1,./data/processed/dog/OIP---A27bIBcUgX1qkbpZOPswHaFS.jpg,OIP---A27bIBcUgX1qkbpZOPswHaFS.jpg,jpg,dog,224,224,RGB,3,4
2,./data/processed/dog/OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpg,OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpg,jpg,dog,224,224,RGB,3,4
3,./data/processed/dog/OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpg,OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpg,jpg,dog,224,224,RGB,3,4
4,./data/processed/dog/OIP---_cJbI6Ei26w5bW1urHewHaCf.jpg,OIP---_cJbI6Ei26w5bW1urHewHaCf.jpg,jpg,dog,224,224,RGB,3,4
5,./data/processed/dog/OIP---cByAiEbIxIAleGo9AqOQAAAA.jpg,OIP---cByAiEbIxIAleGo9AqOQAAAA.jpg,jpg,dog,224,224,RGB,3,4
6,./data/processed/dog/OIP--0C2kq6I68beB3DduLoxMgHaEf.jpg,OIP--0C2kq6I68beB3DduLoxMgHaEf.jpg,jpg,dog,224,224,RGB,3,4
7,./data/processed/dog/OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpg,OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpg,jpg,dog,224,224,RGB,3,4
8,./data/processed/dog/OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpg,OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpg,jpg,dog,224,224,RGB,3,4
9,./data/processed/dog/OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpg,OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpg,jpg,dog,224,224,RGB,3,4
10,./data/processed/dog/OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpg,OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpg,jpg,dog,224,224,RGB,3,4
11,./data/processed/dog/OIP--565fkAJy3DoFs81C9uE1QHaEY.jpg,OIP--565fkAJy3DoFs81C9uE1QHaEY.jpg,jpg,dog,224,224,RGB,3,4
12,./data/processed/dog/OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpg,OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpg,jpg,dog,224,224,RGB,3,4
13,./data/processed/dog/OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpg,OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpg,jpg,dog,224,224,RGB,3,4
14,./data/processed/dog/OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpg,OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpg,jpg,dog,224,224,RGB,3,4
15,./data/processed/dog/OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpg,OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpg,jpg,dog,224,224,RGB,3,4
16,./data/processed/dog/OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpg,OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpg,jpg,dog,224,224,RGB,3,4
17,./data/processed/dog/OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpg,OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpg,jpg,dog,224,224,RGB,3,4
18,./data/processed/dog/OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpg,OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpg,jpg,dog,224,224,RGB,3,4
19,./data/processed/dog/OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpg,OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpg,jpg,dog,224,224,RGB,3,4
20,./data/processed/dog/OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpg,OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpg,jpg,dog,224,224,RGB,3,4
21,./data/processed/dog/OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpg,OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpg,jpg,dog,224,224,RGB,3,4
